,class,largest spot,spot distribution,activity,evolution,24 hour flare activity,historically complex,complexity on this sun disk pass,area,area of largest spot,total flares
0,6,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,72.0
1,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
2,2,3.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0
3,6,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0
4,6,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0
5,2,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
6,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
7,2,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
8,2,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
9,1,1.0,2.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0
10,2,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0
11,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
12,1,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
13,2,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0
14,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
15,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
16,3,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
17,6,3.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,27.0
18,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
19,1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
20,6,3.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,18.0
21,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
22,1,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
23,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
24,1,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
25,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
26,3,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,12.0
27,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
28,3,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,4.0
29,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
30,1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
31,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,
32,2,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
33,1,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
34,3,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
35,1,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
36,2,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
37,4,4.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0
